Manufacturer,Model Number,QTY,ETA
Kraus,GV-430-14-CH,5,
Kraus,GV-430-14-SN,5,
Kraus,GV-430-14-AB,5,
Kraus,GV-430-14-ORB,5,
Kraus,GV-430-14-G,5,
Kraus,GVR-430-RE-CH,0,Discontinued
Kraus,GVR-430-RE-SN,0,Discontinued
Kraus,GVR-430-RE-AB,0,Discontinued
Kraus,GVR-430-RE-ORB,0,Discontinued
Kraus,GVR-430-RE-G,0,Discontinued
Kraus,GV-450-CH,0,Discontinued
Kraus,GV-450-SN,0,Discontinued
Kraus,GV-450-AB,0,Discontinued
Kraus,GV-450-ORB,0,Discontinued
Kraus,GV-450-G,0,Discontinued
Kraus,GV-450-14-CH,0,Discontinued
Kraus,GV-450-14-SN,0,Discontinued
Kraus,GV-450-14-AB,0,Discontinued
Kraus,GV-450-14-ORB,0,Discontinued
Kraus,GV-450-14-G,0,Discontinued
Kraus,GV-570-CH,30,
Kraus,GV-570-SN,30,
Kraus,GV-570-ORB,30,
Kraus,GV-570-G,30,
Kraus,GV-571-19mm-CH,30,
Kraus,GV-571-19mm-SN,30,
Kraus,GV-571-19mm-ORB,30,
Kraus,GV-571-19mm-G,30,
Kraus,GV-580-CH,0,11/5/2012
Kraus,GV-580-SN,0,11/5/2012
Kraus,GV-580-AB,0,11/5/2012
Kraus,GV-580-ORB,0,11/5/2012
Kraus,GV-580-G,0,11/5/2012
Kraus,GV-581-CH,30,
Kraus,GV-581-SN,30,
Kraus,GV-581-AB,30,
Kraus,GV-581-ORB,30,
Kraus,GV-581-G,30,
Kraus,GV-600-19mm-CH,30,
Kraus,GV-600-19mm-SN,30,
Kraus,GV-600-19mm-AB,30,
Kraus,GV-600-19mm-ORB,30,
Kraus,GV-600-19mm-G,30,
Kraus,GV-610-19mm-CH,0,11/5/2012
Kraus,GV-610-19mm-SN,0,11/5/2012
Kraus,GV-610-19mm-AB,0,11/5/2012
Kraus,GV-610-19mm-ORB,0,11/5/2012
Kraus,GV-610-19mm-G,0,11/5/2012
Kraus,GV-620-17mm-CH,30,
Kraus,GV-620-17mm-SN,30,
Kraus,GV-620-17mm-AB,30,
Kraus,GV-620-17mm-ORB,30,
Kraus,GV-620-17mm-G,30,
Kraus,GV-630-19mm-CH,30,
Kraus,GV-630-19mm-SN,30,
Kraus,GV-630-19mm-AB,30,
Kraus,GV-630-19mm-ORB,30,
Kraus,GV-630-19mm-G,30,
Kraus,GV-650-19mm-CH,10,
Kraus,GV-650-19mm-SN,10,
Kraus,GV-650-19mm-AB,10,
Kraus,GV-650-19mm-ORB,10,
Kraus,GV-650-19mm-G,10,
Kraus,GV-651-CH,30,
Kraus,GV-651-SN,30,
Kraus,GV-651-AB,30,
Kraus,GV-651-ORB,30,
Kraus,GV-651-G,30,
Kraus,GV-700-19mm-CH,25,
